ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
75,3LEDid29,12,2.526400564,1.261512016,9.944048577,0.127505568,0.872494432,0.036191537,17.19946641,0.21775509,0.034891236,3.508238037,3.143499248,0.449996312,120,127,60,255
76,3LEDid29,12,2.559524306,1.481226694,11.88328395,0.85467706,0.14532294,0.681792873,27.45065655,0.822943766,0.008838147,3.508238037,3.143499248,0.449996312,120,127,60,255
77,3LEDid29,12,2.166456083,1.080565225,7.411223182,1,0,0.8905902,22.68271745,0.441486606,0.006244394,3.508238037,3.143499248,0.449996312,120,127,60,255
78,3LEDid29,12,2.795753564,1.322353448,11.61438751,0,1,0,0,0,0,3.508238037,3.143499248,0.449996312,120,127,60,255
79,3LEDid6,12,2.819378708,1.377089587,12.24461041,0.263919822,0.736080178,0.190701559,15.10247967,0.159685875,0.015312243,3.508238037,3.143499248,0.449996312,120,127,60,255
80,3LEDid6,12,2.422612445,1.327632971,10.10432113,1,0,0.981625835,8.071934499,0.399639734,0.002224138,3.508238037,3.143499248,0.449996312,120,127,60,255
81,3LEDid6,12,2.250593045,1.18244772,8.399034706,0.099944321,0.900055679,0.090757238,0.938649775,0.010685264,0.002375864,3.508238037,3.143499248,0.449996312,120,127,60,255
82,3LEDid6,12,3.143996538,1.855790627,18.21720106,1,0,0.890311804,23.67515563,1.403741947,0.006527178,3.508238037,3.143499248,0.449996312,120,127,60,255
83,3LEDid6,12,2.377897298,1.298744465,9.792282015,1,0,0.900055679,22.24066713,0.455583638,0.00613429,3.508238037,3.143499248,0.449996312,120,127,60,255
84,3LEDid6,12,2.565023239,1.473208212,11.86487642,0.372772829,0.627227171,0.300668151,9.903731041,0.270051489,0.007247158,3.508238037,3.143499248,0.449996312,120,127,60,255
